epsd_form,etcsl_form,etcsri_form,comp1_wr
ŠEKIN[cvne] kud[cut],,,
si[cvne] ak[do],si[horn] ak[do],,si
si[horn] e[leave],,,si
si[horn] mu[grow],,,si
si[horn] sa[equal],,,si
su[flesh] sag[beat],,,su
su[flesh] zig[rise],,,su
šu[hand] bad[open],,,šu
šu[hand] bala[turn],,,šu
šu[hand] bar[cvve],šu[hand] bar[outside],,šu
šu[hand] dab[seize],,,šu
šu[hand] dag[demolish],,,šu
šu[hand] de[bring],,,šu
šu[hand] dim[check],,,šu
šu[hand] du[build],,,šu
šu[hand] du[push],,,šu
šu[hand] du[spread],,,šu
šu[hand] dub[tremble],,,šu
šu[hand] dug[speak],,,šu
šu[hand] e[leave],,,šu
šu[hand] ŋal[be],,,šu
šu[hand] ŋar[place],,,šu
šu[hand] gi[turn],,,šu
šu[hand] gid[drag],šu[hand] gid[long],,šu
šu[hand] gur[turn],,,šu
šu[hand] hub[cvve],,,šu
šu[hand] hulu[bad],,,šu
šu[hand] huz[cvve],,,šu
šu[hand] il[raise],,,šu
šu[hand] kar[blow],,,šu
šu[hand] kar[flee],,,šu
šu[hand] la[hang],,,šu
šu[hand] mu[grow],,,šu
šu[hand] niŋin[encircle],,,šu
šu[hand] pel[defile],,,šu
šu[hand] peš[thick],,,šu
šu[hand] rah[beat],,,šu
šu[hand] RI[cry],,,šu
šu[hand] rugu[withstand],,,šu
šu[hand] saga[press?],,,šu
šu[hand] šanšaša[cvve],,,šu
šu[hand] sil[split],,,šu
šu[hand] sub[rub],,,šu
šu[hand] sud[distant],,,šu
šu[hand] šum[give],,,šu
šu[hand] šuš[cover],,,šu
šu[hand] tag[touch],,,šu
šu[hand] tak[cvve],šu[hand] taka[abandon],,šu
šu[hand] teŋ[approach],,,šu
šu[hand] tubul[cvve],,,šu
šu[hand] tutu[cvve],,,šu
šu[hand] ur[drag],,,šu
šu[hand] us[follow],,,šu
šu[hand] us[lean],šu[hand] us[follow],,šu
šu[hand] zig[rise],,,šu
šud[prayer] ša[cvve],,,šudu₃
sug[marsh] gu[eat],,,sug
sugzag[cvne] gu[eat],sugzag[~marsh] gu[eat],,sug-zag
suhsah[sound] za[cvve],,,suh₃-sah₄
šukin[prostration] dab[seize],,,šu-kin
sulum[contempt] ŋar[place],,,
taka[cvve] la[hang],taka[abandon] la[hang],,taka₄
ti[arrow] bala[turn],ti[rib] bala[turn],,ti
ti[arrow] rah[beat],,,ti
tug[plow?] sig[place],tug[plow?] sig[put],,
tug[textile] sig[place],tug[textile] sig[put],,tug₂
tug[textile] tag[touch],,,tug₂
tug[textile] ur[drag],,,tug₂
u[admiration] dug[speak],,,u₆ u₅ u₄ u₃
u[cvne] su[cvve],,,
u[plants] su[cvve],,,
u[sleep] ku[place],,,u₃
ud[sun] šuš[cover],,,ud
ud[sun] zal[pass time],,,ud
ugu[cvne] de[pour],,,ugu u₂-gu
ugul[cvne] ŋar[place],,,
ul[swell] šar[3600],,,ul
uma[triumph] gub[stand],,,u₃-ma
umbin[nail] kiŋ[work],umbin[nail] kiŋ[seek],,umbin
umbin[nail] la[hang],,,umbin
umbin[wheel] TAR[cvve],,,
ur[he] tab[flatten],,,
ur[he] ug[to die],,,
ur[liver] sag[good],,,ur₅
urar[cvne] za[cvve],,,
uš[cvne] gu[eat],uš[foundation] gu[eat],,uš
usalla[cvne] nud[lie down],,,
usar[cvne] ak[do],,,u₃-sar u₄-sar u₃-sa-ar
wuwa[cvne] za[cvve],,,
zag[side] dib[burn],zag[side] dib[pass],,zag
zag[side] kešed[bind],,,zag
zag[side] ša[cvve],,,zag
zag[side] saga[press?],,,zag
zag[side] šu[cvve],,,zag
zag[side] tag[touch],,,zag
